SECTOR,COMPANY
"Electricity, Gas, Water and Waste Services",Bunbury Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",Busselton Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",Carnegie Clean Energy Limited D2612 *New*
"Electricity, Gas, Water and Waste Services",Central Gippsland Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",Central Highlands Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",Central Plains Water Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",Central SEQ Distributor-Retailer Authority D2811
"Electricity, Gas, Water and Waste Services",Christchurch City Holdings Limited D2630 *New*
"Electricity, Gas, Water and Waste Services",Clean Energy Regulator D2619a *New*
"Electricity, Gas, Water and Waste Services",Cleanaway Waste Management Limited D2911
"Electricity, Gas, Water and Waste Services",CleanCo Queensland D2619a *New*
"Electricity, Gas, Water and Waste Services",Coliban Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",CS Energy Ltd D2611
"Electricity, Gas, Water and Waste Services",Darwin Waterfront Corporation D2811
"Electricity, Gas, Water and Waste Services",Delorean Corporation Limited D2619a *New*
"Electricity, Gas, Water and Waste Services",Delta Electricity Pty Ltd D2611 *New*
"Electricity, Gas, Water and Waste Services",Department of Agriculture & Water Resources - Australia D2811
"Electricity, Gas, Water and Waste Services",DGL Group Limited D2922 *New*
"Electricity, Gas, Water and Waste Services",Duxton Water Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",East Gippsland Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",ElectraNet Pty Ltd D2620
"Electricity, Gas, Water and Waste Services",Electricity Generation and Retail Corporation D2640
"Electricity, Gas, Water and Waste Services",Electricity Networks Corporation D2620
"Electricity, Gas, Water and Waste Services",Energy Queensland Limited D2630
"Electricity, Gas, Water and Waste Services",EnergyAustralia Holdings Limited D2640
"Electricity, Gas, Water and Waste Services",Essential Energy D2630
"Electricity, Gas, Water and Waste Services",Genesis Energy Limited D2611
"Electricity, Gas, Water and Waste Services",Genex Power Limited D2619a *New*
"Electricity, Gas, Water and Waste Services",Global Renewables Holdings Pty Ltd D2921 *New*
"Electricity, Gas, Water and Waste Services",Globird Energy Pty. Ltd. D2611 *New*
"Electricity, Gas, Water and Waste Services",Goulburn Valley Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",Goulburn-Murray Rural Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Greater Western Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Hunter Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Hydro-Electric Corporation D2612
"Electricity, Gas, Water and Waste Services",Iberdrola Australia Limited D2619a *New*
"Electricity, Gas, Water and Waste Services",Iberdrola Australia Trust D2619
"Electricity, Gas, Water and Waste Services",Icon Water Limited D2811
"Electricity, Gas, Water and Waste Services",InterGen Energy Holdings (Australia) Pty Ltd D2611
"Electricity, Gas, Water and Waste Services",International Power (Australia) Holdings Pty Limited D2619b
"Electricity, Gas, Water and Waste Services",J. J. Richards & Sons Pty Ltd D2911
"Electricity, Gas, Water and Waste Services",Kor Equipment Solutions Pty Ltd D2812
"Electricity, Gas, Water and Waste Services",Locality Planning Energy Holdings Limited D2640 *New*
"Electricity, Gas, Water and Waste Services",Manawa Energy Limited D2612
"Electricity, Gas, Water and Waste Services",Melbourne Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Mercury NZ Limited D2640
"Electricity, Gas, Water and Waste Services",Meridian Energy Limited D2619a
"Electricity, Gas, Water and Waste Services",Metropolitan Waste and Resource Recovery Group D2922 *New*
"Electricity, Gas, Water and Waste Services",Mhv Water Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",Mpower Group Limited D2619b
"Electricity, Gas, Water and Waste Services",Murray-Darling Basin Authority D2811
"Electricity, Gas, Water and Waste Services",Murrumbidgee Irrigation Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",National Poly Industries Pty Ltd D2811 *New*
"Electricity, Gas, Water and Waste Services",Neoen Australia Pty Ltd D2619b
"Electricity, Gas, Water and Waste Services",Next Business Energy Pty Ltd D2640 *New*
"Electricity, Gas, Water and Waste Services",North East Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",North Otago Irrigation Company Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",NSC (Australia) Pty Ltd D2700
"Electricity, Gas, Water and Waste Services",NSW Electricity Networks Operations Holdings Pty Ltd D2620 *New*
"Electricity, Gas, Water and Waste Services",NZ Windfarms Limited D2640 *New*
"Electricity, Gas, Water and Waste Services",Origin Energy Limited D2640
"Electricity, Gas, Water and Waste Services",Orion New Zealand Limited D2630
"Electricity, Gas, Water and Waste Services",Pacific Hydro Pty Ltd D2619a
"Electricity, Gas, Water and Waste Services",Pioneer Sail Holdings Pty Limited D2640
"Electricity, Gas, Water and Waste Services",Power and Water Corporation D2700
"Electricity, Gas, Water and Waste Services",QLD Department of Energy and Public Works D2630
"Electricity, Gas, Water and Waste Services",Queensland Bulk Water Supply Authority D2811 *New*
"Electricity, Gas, Water and Waste Services",Queensland Electricity Transmission Corporation Limited D2620
"Electricity, Gas, Water and Waste Services",Rangitata South Irrigation Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",Re.Hold Pty Ltd D2911 *New*
"Electricity, Gas, Water and Waste Services",Regional Power Corporation D2640
"Electricity, Gas, Water and Waste Services",Remondis Australia Pty Ltd D2921
"Electricity, Gas, Water and Waste Services",Ryowa Development Ii Pty. Limited D2611 *New*
"Electricity, Gas, Water and Waste Services",SA Power Networks D2630
"Electricity, Gas, Water and Waste Services",SGSP (Australia) Assets Pty Ltd D2630
"Electricity, Gas, Water and Waste Services",Siemens Gamesa Renewable Energy Pty Ltd D2619a *New*
"Electricity, Gas, Water and Waste Services",Sims Limited D2922
"Electricity, Gas, Water and Waste Services",Snowy Hydro Limited D2612
"Electricity, Gas, Water and Waste Services",South Australian Water Corporation D2811
"Electricity, Gas, Water and Waste Services",South East Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Stanwell Corporation Limited D2611
"Electricity, Gas, Water and Waste Services",Sumo Australia Ltd D2640 *New*
"Electricity, Gas, Water and Waste Services",Sunset Power International Pty Ltd D2640
"Electricity, Gas, Water and Waste Services",SunWater Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",Sydney Desalination Plant Pty Limited D2811
"Electricity, Gas, Water and Waste Services",Sydney Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Tasmanian Irrigation D2811 *New*
"Electricity, Gas, Water and Waste Services",Tasmanian Networks Pty Ltd D2620
"Electricity, Gas, Water and Waste Services",Tilt Renewables Limited D2640 *New*
"Electricity, Gas, Water and Waste Services",Tomra Cleanaway Pty Limited D2911 *New*
"Electricity, Gas, Water and Waste Services",Transgrid D2620 *New*
"Electricity, Gas, Water and Waste Services",Transpower New Zealand Limited D2620
"Electricity, Gas, Water and Waste Services",Vector Limited D2630
"Electricity, Gas, Water and Waste Services",Veolia Recycling & Recovery ANZ Pty Limited D2911
"Electricity, Gas, Water and Waste Services",Victoria Power Networks Pty Ltd D2630
"Electricity, Gas, Water and Waste Services",Waimakariri Irrigation Limited D2811 *New*
"Electricity, Gas, Water and Waste Services",Waste Services Holding Co Pty Ltd D2921 *New*
"Electricity, Gas, Water and Waste Services",Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Water NSW D2811
"Electricity, Gas, Water and Waste Services",Western Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",Westernport Region Water Corporation D2811 *New*
"Electricity, Gas, Water and Waste Services",Winconnect Pty Ltd D2619a *New*
"Electricity, Gas, Water and Waste Services",WMNZ Holdings Limited D2921
"Electricity, Gas, Water and Waste Services",Yarra Valley Water Corporation D2811
"Electricity, Gas, Water and Waste Services",Zenviron Pty Ltd D2619a *New*
Financial and Insurance Services,360 Capital Group K6240 *New*
Financial and Insurance Services,A.C.N. 087 652 024 Limited K6223
Financial and Insurance Services,Aa Insurance Limited K6322 *New*
Financial and Insurance Services,ABN AMRO Clearing Sydney Pty Limited K6419c
Financial and Insurance Services,Accident Compensation Corporation K6322
Financial and Insurance Services,Active Super K6330
Financial and Insurance Services,Afc Group Holdings Limited K6419b *New*
Financial and Insurance Services,Afterpay Pty Ltd K6200
Financial and Insurance Services,AIA Australia Limited K6310
Financial and Insurance Services,AIG Australia Limited K6322
Financial and Insurance Services,Akuna Capital Australia Pty Ltd K6240 *New*
Financial and Insurance Services,Allianz Australia Limited K6322
Financial and Insurance Services,Amcil Limited K6240 *New*
Financial and Insurance Services,American Express Australia Limited K6419c
Financial and Insurance Services,AMP Limited K6330
Financial and Insurance Services,Ansvar Insurance Limited K6322
Financial and Insurance Services,ANZ Bank New Zealand Limited K6221a
Financial and Insurance Services,Aon Group Pty Ltd K6420
Financial and Insurance Services,ArborGen Holdings Limited K6240
Financial and Insurance Services,Arena REIT K6419a
Financial and Insurance Services,Argo Investments Limited K6240
Financial and Insurance Services,ASB Bank Limited K6221b *New*
Financial and Insurance Services,Ascension Capital Limited K6411a *New*
Financial and Insurance Services,Asdam Finance Pty Ltd K6411a *New*
Financial and Insurance Services,ASF Group Limited K6240 *New*
Financial and Insurance Services,ASX Limited K6419c
Financial and Insurance Services,Athena Financial Pty Ltd K6230 *New*
Financial and Insurance Services,AUB Group Limited K6420
Financial and Insurance Services,Audant Investments Pty Limited K6411a
Financial and Insurance Services,Australia and New Zealand Banking Group Limited K6221a
Financial and Insurance Services,Australian Catholic Superannuation and Retirement Fund K6330
Financial and Insurance Services,Australian Ethical Investment Limited K6419a
Financial and Insurance Services,Australian Finance Group Ltd K6411b
Financial and Insurance Services,Australian Financial Security Authority K6200 *New*
Financial and Insurance Services,Australian Foundation Investment Company Limited K6240
Financial and Insurance Services,Australian Life Development Pty Ltd K6310 *New*
Financial and Insurance Services,Australian Meat Industry Superannuation Trust K6330
Financial and Insurance Services,Australian Motor Group Pty Limited K6240 *New*
Financial and Insurance Services,Australian Prudential Regulation Authority K6200
Financial and Insurance Services,Australian Reinsurance Pool Corporation K6322 *New*
Financial and Insurance Services,Australian Renewable Energy Agency K6240
Financial and Insurance Services,Australian Retirement Trust K6330
Financial and Insurance Services,Australian United Investment Company Limited K6240 *New*
Financial and Insurance Services,Australian Unity Limited K6321
Financial and Insurance Services,AustralianSuper K6330
Financial and Insurance Services,Austreo Commercial Ventures Pty Ltd K6200 *New*
Financial and Insurance Services,Auswide Bank Limited K6221a
Financial and Insurance Services,Auto & General Insurance Company Limited K6322
Financial and Insurance Services,Auto & General Services Pty Ltd K6322 *New*
Financial and Insurance Services,Avant Mutual Group Limited K6322
Financial and Insurance Services,Aware Super Pty Ltd K6330
Financial and Insurance Services,Awn Holdings Limited K6411a *New*
Financial and Insurance Services,Balmain Nb Corporation Limited K6230 *New*
Financial and Insurance Services,Bank Australia Limited K6223
Financial and Insurance Services,Bank of Queensland Limited K6221a
Financial and Insurance Services,Bank of Sydney Ltd K6221b
Financial and Insurance Services,Barings Australia Property Holdings Pty Ltd K6419a *New*
Financial and Insurance Services,Barramundi Limited K6411a *New*
Financial and Insurance Services,Barrenjoey Capital Partners Group Holdings Pty Limited K6411a *New*
Financial and Insurance Services,Bell Financial Group Limited K6411a
Financial and Insurance Services,Bendigo & Adelaide Bank Limited K6221a
Financial and Insurance Services,Beyond Bank Australia Limited K6223
Financial and Insurance Services,BHCA Pty Limited K6240
Financial and Insurance Services,BKI Investment Company Limited K6240 *New*
Financial and Insurance Services,Blackrock Investment Management (Australia) Limited K6419a
Financial and Insurance Services,Blackwall Limited K6419a *New*
Financial and Insurance Services,Blackwell Global Holdings Limited K6230 *New*
Financial and Insurance Services,BMW Australia Finance Limited K6230
Financial and Insurance Services,Bnk Banking Corporation Limited K6221a *New*
Financial and Insurance Services,BNP Paribas Fund Services Australasia Pty Ltd K6221b
Financial and Insurance Services,Bougainville Copper Limited K6240 *New*
Financial and Insurance Services,BP Regional Australasia Holdings Pty Ltd K6240
Financial and Insurance Services,Brighte Capital Pty Ltd K6230 *New*
Financial and Insurance Services,Britannia Financial Services Limited K6419b *New*
Financial and Insurance Services,BTO LT Hold Pty Ltd K6411a *New*
Financial and Insurance Services,Building Unions Superannuation Scheme (QLD) K6330
Financial and Insurance Services,Bupa ANZ Insurance Pty Ltd K6321
Financial and Insurance Services,Cadence Capital Limited K6419a *New*
Financial and Insurance Services,Cairnton Holdings Pty Ltd K6200 *New*
Financial and Insurance Services,Caledonia (Private) Investments Pty Limited K6419a
Financial and Insurance Services,Cambridge Partners Limited K6419b *New*
Financial and Insurance Services,Canaccord Genuity Financial Limited K6411a
Financial and Insurance Services,Capricorn Mutual Limited K6322 *New*
Financial and Insurance Services,Cardtronics Australia Pty Ltd K6419c
Financial and Insurance Services,Care Super K6330
Financial and Insurance Services,Carlton Investments Limited K6240 *New*
Financial and Insurance Services,Caterpillar Financial Australia Limited K6230
Financial and Insurance Services,Catholic Church Insurance Limited K6322
Financial and Insurance Services,Catholic Superannuation Fund K6330
Financial and Insurance Services,CBHS Health Fund Limited K6321
Financial and Insurance Services,Central Assets Investment Limited K6419b *New*
Financial and Insurance Services,Centrepoint Alliance Limited K6419b
Financial and Insurance Services,Centuria Capital Group K6419a *New*
Financial and Insurance Services,Centuria NZ Industrial Fund Limited K6419a *New*
Financial and Insurance Services,Challenger Limited K6310
Financial and Insurance Services,Change Financial Limited K6419c *New*
Financial and Insurance Services,Christian Savings Limited K6419a *New*
Financial and Insurance Services,Chubb Holdings Australia Pty Limited K6322
Financial and Insurance Services,Ci Global Investments Australia Pty Limited K6200 *New*
Financial and Insurance Services,Citadel Securities Australia Pty Ltd K6240
Financial and Insurance Services,Citigroup Global Markets Australia Holdings Pty Limited K6411a
Financial and Insurance Services,Citigroup Pty Limited K6221b
Financial and Insurance Services,City Lodge Motel Pty Ltd K6240 *New*
Financial and Insurance Services,CKA Risk Solutions Pty Ltd K6420 *New*
Financial and Insurance Services,Claim Central Consolidated Pty Ltd K6322 *New*
Financial and Insurance Services,Clean Energy Finance Corporation K6240 *New*
Financial and Insurance Services,Clearview Wealth Limited K6310
Financial and Insurance Services,Clime Capital Limited K6240 *New*
Financial and Insurance Services,Club Plus Superannuation Scheme K6330
Financial and Insurance Services,CMC Markets NZ Limited K6200 *New*
Financial and Insurance Services,Cmc Markets Stockbroking Limited K6411a *New*
Financial and Insurance Services,Coal Services Pty Limited K6322
Financial and Insurance Services,Cobbadah Pty. Limited K6411a *New*
Financial and Insurance Services,COG Financial Services Limited K6240 *New*
Financial and Insurance Services,Colcap Financial Limited K6230
Financial and Insurance Services,Colonial Holding Company Limited K6330 *New*
Financial and Insurance Services,Comcare K6322
Financial and Insurance Services,Commonwealth Bank of Australia K6221a
Financial and Insurance Services,Commonwealth Superannuation Scheme K6330
Financial and Insurance Services,Compare Club Holdings Limited K6420 *New*
Financial and Insurance Services,Compare The Market Pty Ltd K6322 *New*
Financial and Insurance Services,Computershare Limited K6419c
Financial and Insurance Services,Conrad Funds Management Limited K6419a *New*
Financial and Insurance Services,Consilium NZ Limited K6200 *New*
Financial and Insurance Services,Construction and Building Unions Superannuation K6330
Financial and Insurance Services,Cooper Investors Pty Ltd K6419a *New*
Financial and Insurance Services,Corval Partners Limited K6419a *New*
Financial and Insurance Services,Covenant Trustee Services Limited K6419c *New*
Financial and Insurance Services,Credit Agricole CIB Australia Limited K6411a
Financial and Insurance Services,Credit Clear Limited K6419c *New*
Financial and Insurance Services,Credit Intelligence Limited K6419b *New*
Financial and Insurance Services,Credit Suisse Holdings (Australia) Limited K6411a
Financial and Insurance Services,Credit Union Australia Ltd K6223
Financial and Insurance Services,CUA Health Pty Ltd K6321 *New*
Financial and Insurance Services,CVC Limited K6240 *New*
Financial and Insurance Services,D.F.D. Rhodes Pty Ltd K6240 *New*
Financial and Insurance Services,Daromin Holdings Pty Ltd K6411a *New*
Financial and Insurance Services,Data Action Pty. Ltd. K6411a *New*
Financial and Insurance Services,Dealer Finance Limited K6230 *New*
Financial and Insurance Services,Defence Bank Limited K6221a
Financial and Insurance Services,Defence Health Limited K6321
Financial and Insurance Services,Department of Finance K6200 *New*
Financial and Insurance Services,Department of the Treasury K6200 *New*
Financial and Insurance Services,Deterra Royalties Limited K6240 *New*
Financial and Insurance Services,Deutsche Australia Limited K6221b
Financial and Insurance Services,Digitalx Limited K6240 *New*
Financial and Insurance Services,Diverger Limited K6240
Financial and Insurance Services,Diversified United Investment Limited K6240 *New*
Financial and Insurance Services,Djerriwarrh Investments Limited K6240 *New*
Financial and Insurance Services,E&P Financial Group Limited K6419b *New*
Financial and Insurance Services,Earlypay Limited K6230 *New*
Financial and Insurance Services,Earthquake Commission K6322
Financial and Insurance Services,Eftpos Payments Australia Limited K6200 *New*
Financial and Insurance Services,Ellerston Capital Limited K6240 *New*
Financial and Insurance Services,Elph Investments Pty Ltd K6411a *New*
Financial and Insurance Services,Emergency Services Superannuation Scheme K6330
Financial and Insurance Services,EML Payments Limited K6200
Financial and Insurance Services,Energy Super K6330
Financial and Insurance Services,Ensurance Limited K6322 *New*
Financial and Insurance Services,Epoch Capital Pty Ltd K6411a *New*
Financial and Insurance Services,EQT Holdings Limited K6419c
Financial and Insurance Services,equipsuper K6330
Financial and Insurance Services,Eric Insurance Limited K6322
Financial and Insurance Services,EUROZ Hartleys Group Limited K6411a
Financial and Insurance Services,Evans And Partners Pty. Ltd. K6411a *New*
Financial and Insurance Services,Evolution Precast Systems Holdings Pty Ltd K6200 *New*
Financial and Insurance Services,Evolution Trustees Limited K6419c
Financial and Insurance Services,Export Finance Australia K6230
Financial and Insurance Services,Fat Prophets Global Contrarian Fund Limited K6240 *New*
Financial and Insurance Services,Fatfish Group Limited K6200 *New*
Financial and Insurance Services,FE fundinfo (Australia) Pty Limited K6419b *New*
Financial and Insurance Services,Fidelity Life Assurance Company Limited K6322 *New*
Financial and Insurance Services,Fiducian Group Limited K6200 *New*
Financial and Insurance Services,Finance Direct Limited K6230 *New*
Financial and Insurance Services,Financial Acuity Limited K6419b *New*
Financial and Insurance Services,Financial Holdings Australia Pty Ltd K6322 *New*
Financial and Insurance Services,Finder.com Pty Ltd K6419b *New*
Financial and Insurance Services,Finexia Financial Group Limited K6411a *New*
Financial and Insurance Services,First Insurance Limited K6310 *New*
Financial and Insurance Services,First Sentier Investors (Australia) IM Ltd K6419a *New*
Financial and Insurance Services,First Sentier Investors Holdings Pty Limited K6419a
Financial and Insurance Services,FIRST Super K6330
Financial and Insurance Services,Firstmac Limited K6230
Financial and Insurance Services,Flagship Investments Limited K6240 *New*
Financial and Insurance Services,Fmg Insurance Limited K6322 *New*
Financial and Insurance Services,Franklin Templeton Investments Australia Limited K6240 *New*
Financial and Insurance Services,FSA Group Limited K6419b
Financial and Insurance Services,Future Fund Investment Company No1 Pty Ltd K6240 *New*
Financial and Insurance Services,Future Fund Management Agency K6419a
Financial and Insurance Services,Future Generation Investment Company Limited K6240 *New*
Financial and Insurance Services,Futurity Investment Group Limited K6411a
Financial and Insurance Services,Gaif 4-1 Borrower Company Pty Limited K6419a *New*
Financial and Insurance Services,GARDA Property Group K6419a *New*
Financial and Insurance Services,General Capital Limited K6230 *New*
Financial and Insurance Services,General Reinsurance Australia Ltd K6322
Financial and Insurance Services,General Reinsurance Life Australia Ltd K6322
Financial and Insurance Services,Generation Development Group Limited K6310 *New*
Financial and Insurance Services,Geneva Finance Limited K6322 *New*
Financial and Insurance Services,Ggl Assets (Nz) Limited K6419a *New*
Financial and Insurance Services,Glennon Small Companies Limited K6240 *New*
Financial and Insurance Services,GMHBA Limited K6321
Financial and Insurance Services,Golden Key New Zealand Limited K6411a *New*
Financial and Insurance Services,Goldman Sachs Holdings Anz Pty Limited K6200 *New*
Financial and Insurance Services,Government Employees Superannuation Board K6330 *New*
Financial and Insurance Services,Gowing Bros Limited K6240 *New*
Financial and Insurance Services,Greater Bank Limited K6221a
Financial and Insurance Services,Greenstone Holdco Pty Limited K6322
Financial and Insurance Services,Greenstone Pty Limited K6322
Financial and Insurance Services,Guild Group Holdings Limited K6321
Financial and Insurance Services,Hannover Life Re of Australasia Ltd K6310
Financial and Insurance Services,Harmoney Corp Limited K6200 *New*
Financial and Insurance Services,HBF Health Limited K6321
Financial and Insurance Services,Health Employees Superannuation Trust Australia K6330
Financial and Insurance Services,Health Insurance Fund of Australia Limited K6321
Financial and Insurance Services,Heartland Group Holdings Limited K6200 *New*
Financial and Insurance Services,Hearts and Minds Investments Limited K6419a *New*
Financial and Insurance Services,Helia Group Limited K6322
Financial and Insurance Services,Hella Asia Pacific K6411a *New*
Financial and Insurance Services,Henderson Far East Income Limited K6240 *New*
Financial and Insurance Services,Heritage And People's Choice Limited K6223
Financial and Insurance Services,HMC Capital Limited K6419a *New*
Financial and Insurance Services,Hollard Holdings Australia Pty Ltd K6322
Financial and Insurance Services,Holon Global Investments Ltd K6419a *New*
Financial and Insurance Services,HomeStart Finance K6230
Financial and Insurance Services,Horticulture Innovation Australia Limited K6419a
Financial and Insurance Services,Hospitals Contribution Fund of Australia Limited K6321
Financial and Insurance Services,HOSTPLUS Superannuation Fund K6330
Financial and Insurance Services,HP Financial Services (Australia) Pty Limited K6200
Financial and Insurance Services,HSBC Australia Holdings Pty Limited K6221b
Financial and Insurance Services,Hub24 Limited K6419d *New*
Financial and Insurance Services,Humm Group Limited K6230
Financial and Insurance Services,Hygrovest Limited K6240 *New*
Financial and Insurance Services,ICF Holdings Pty Ltd K6420 *New*
Financial and Insurance Services,IG Markets Limited K6419b *New*
Financial and Insurance Services,IMB Ltd K6221a
Financial and Insurance Services,IMC Pacific Holdings Pty Ltd K6240 *New*
Financial and Insurance Services,Industry Super Holdings Pty Ltd K6419d
Financial and Insurance Services,Infocus Wealth Management Limited K6419b *New*
Financial and Insurance Services,Infrastructure Specialist Asset Management Limited K6419c *New*
Financial and Insurance Services,Infratil Limited K6240
Financial and Insurance Services,ING Australia Holdings Limited K6221b
Financial and Insurance Services,ING Bank (Australia) Limited K6221b
Financial and Insurance Services,Insignia Financial Ltd K6419b
Financial and Insurance Services,Insurance Australia Group Limited K6322
Financial and Insurance Services,Insurance Brands Australia Pty Ltd K6420 *New*
Financial and Insurance Services,Insurance Commission of Western Australia K6322
Financial and Insurance Services,Interlift Pty Ltd K6240 *New*
Financial and Insurance Services,Investa Office Management Holdings Pty Ltd K6419a *New*
Financial and Insurance Services,Investec Holdings Australia Pty Ltd K6419a *New*
Financial and Insurance Services,Investmart Group Limited K6419b *New*
Financial and Insurance Services,Investors Central Limited K6240 *New*
Financial and Insurance Services,Ironbark Investment Partners Pty Limited K6419a *New*
Financial and Insurance Services,ISelect Limited K6420
Financial and Insurance Services,Ispt Pty Ltd K6411a *New*
Financial and Insurance Services,J P Morgan Australia Group Pty Limited K6411a
Financial and Insurance Services,Jana Management Co Pty Ltd K6240 *New*
Financial and Insurance Services,Judo Capital Holdings Limited K6221a *New*
Financial and Insurance Services,K2 Asset Management Holdings Ltd K6419a *New*
Financial and Insurance Services,Kalina Power Limited K6240 *New*
Financial and Insurance Services,Katana Capital Limited K6411a *New*
Financial and Insurance Services,Keystart Housing Scheme Trust K6230 *New*
Financial and Insurance Services,Kingfish Limited K6419b *New*
Financial and Insurance Services,Kiwi Wealth Limited K6419a *New*
Financial and Insurance Services,Kiwibank Limited K6411a *New*
Financial and Insurance Services,Kotzur Group Pty Ltd K6240 *New*
Financial and Insurance Services,L1 Long Short Fund Limited K6411a *New*
Financial and Insurance Services,La Trobe Financial Pty Limited K6200
Financial and Insurance Services,Labour Union Co-operative Retirement Fund K6330
Financial and Insurance Services,Landis & Gyr Holdings Pty Ltd K6240 *New*
Financial and Insurance Services,Latitude Group Holdings Limited K6230 *New*
Financial and Insurance Services,Laybuy Group Holdings Limited K6230 *New*
Financial and Insurance Services,legalsuper K6330
Financial and Insurance Services,Lendi Group Pty Ltd K6411b
Financial and Insurance Services,LGIAsuper K6330
Financial and Insurance Services,LGT Crestone Holdings Limited K6419b *New*
Financial and Insurance Services,Liberty Financial Group Ltd K6200 *New*
Financial and Insurance Services,Lifetime Asset Management Limited K6419a *New*
Financial and Insurance Services,Link Administration Holdings Limited K6419b
Financial and Insurance Services,Loan Market Group Pty Ltd K6411b
Financial and Insurance Services,Local Authorities Superannuation Fund K6330
Financial and Insurance Services,Lonsdale Finance Pty Limited K6240 *New*
Financial and Insurance Services,M.G.A. Management Services Pty. Ltd. K6322 *New*
Financial and Insurance Services,MA Financial Group Limited K6419b *New*
Financial and Insurance Services,Macquarie Group Limited K6419a
Financial and Insurance Services,Macquarie Infrastructure Management (Asia) Pty Limited K6419a *New*
Financial and Insurance Services,Magellan Financial Group Ltd K6419a
Financial and Insurance Services,Mainland Capital Investment Management Limited K6419a *New*
Financial and Insurance Services,Mainstream Group Holdings Limited K6419a
Financial and Insurance Services,Marlin Global Limited K6419a *New*
Financial and Insurance Services,Marsh Mercer Holdings (Australia) Pty Ltd K6420 *New*
Financial and Insurance Services,MasterCard Australia Holding Pty Ltd K6419c
Financial and Insurance Services,Maxcap Group Holdings Pty Ltd K6230
Financial and Insurance Services,MDA National Limited K6322
Financial and Insurance Services,Media Super K6330
Financial and Insurance Services,Medibank Private Limited K6321
Financial and Insurance Services,Medical Assurance Society New Zealand Limited K6322 *New*
Financial and Insurance Services,Medical Defence Association Of South Australia Limited K6321 *New*
Financial and Insurance Services,Medical Indemnity Protection Society Limited K6322
Financial and Insurance Services,Members Equity Bank Limited K6221a
Financial and Insurance Services,Merrill Lynch (Australasia) Pty Ltd K6411a
Financial and Insurance Services,MetLife Insurance Limited K6310
Financial and Insurance Services,MFF Capital Investments Limited K6419a *New*
Financial and Insurance Services,Mildura District Hospital Fund Ltd. K6321 *New*
Financial and Insurance Services,Milford Funds Limited K6419a *New*
Financial and Insurance Services,Milford Private Wealth Limited K6419a *New*
Financial and Insurance Services,Military Superannuation and Benefits Scheme K6330
Financial and Insurance Services,Milton Corporation Pty Ltd K6240
Financial and Insurance Services,Minerva Financial Group Pty Ltd K6411b
Financial and Insurance Services,Mint Asset Management Limited K6240 *New*
Financial and Insurance Services,Mirrabooka Investments Limited K6240 *New*
Financial and Insurance Services,"Mitsui Sumitomo Insurance Company, Limited K6322 *New*"
Financial and Insurance Services,MLC Limited K6310
Financial and Insurance Services,Mo Support Pty Ltd K6321 *New*
Financial and Insurance Services,Momentum Life Limited K6310 *New*
Financial and Insurance Services,Money3 Corporation Limited K6230
Financial and Insurance Services,MoneyMe Limited K6200 *New*
Financial and Insurance Services,Morgan Stanley (Australia) Securities Holdings Pty Limited K6411a
Financial and Insurance Services,Morgan Stanley Wealth Management Australia Pty Ltd K6419b
Financial and Insurance Services,Morphic Ethical Equities Fund Limited K6411a *New*
Financial and Insurance Services,Mortgage Choice Limited K6411b
Financial and Insurance Services,Motor Accidents Insurance Board K6322 *New*
Financial and Insurance Services,Motor Trade Finance Limited K6200 *New*
Financial and Insurance Services,Munich Holdings of Australasia Pty Limited K6310
Financial and Insurance Services,Mutual Credit Finance Limited K6200 *New*
Financial and Insurance Services,MyState Limited K6221a
Financial and Insurance Services,National Australia Bank Limited K6221a
Financial and Insurance Services,National Housing Finance and Investment Corporation K6411a *New*
Financial and Insurance Services,Navigator Global Investments Limited K6419a
Financial and Insurance Services,Netwealth Group Limited K6419a *New*
Financial and Insurance Services,New Energy Solar K6240 *New*
Financial and Insurance Services,New Zealand Local Government Funding Agency Limited K6200 *New*
Financial and Insurance Services,New Zealand Medical Indemnity Insurance Limited K6321 *New*
Financial and Insurance Services,Newcastle Greater Mutual Group Ltd K6222
Financial and Insurance Services,Newco Newmarket Limited K6200 *New*
Financial and Insurance Services,Newco St Lukes Limited K6240 *New*
